iter	Passed	Remaining
0	93	93239
1	125	62819
2	159	53010
3	211	52711
4	246	49051
5	279	46362
6	312	44270
7	342	42497
8	377	41521
9	406	40272
10	436	39279
11	470	38710
12	505	38386
13	538	37927
14	573	37666
15	602	37069
16	634	36697
17	668	36463
18	703	36320
19	735	36053
20	768	35809
21	800	35606
22	835	35474
23	867	35263
24	900	35113
25	938	35173
26	981	35366
27	1017	35317
28	1051	35197
29	1086	35128
30	1120	35012
31	1152	34871
32	1188	34812
33	1413	40174
34	1491	41125
35	1529	40957
36	1565	40741
37	1602	40557
38	1632	40215
39	1661	39868
40	1693	39619
41	1722	39297
42	1754	39042
43	1785	38791
44	1818	38601
45	1857	38526
46	1891	38345
47	1923	38149
48	1952	37902
49	1998	37980
50	2042	38015
51	2094	38193
52	2140	38249
53	2184	38261
54	2219	38138
55	2261	38114
56	2306	38166
57	2345	38088
58	2380	37970
59	2411	37775
60	2449	37701
61	2487	37628
62	2517	37437
63	2547	37259
64	2579	37105
65	2610	36941
66	2647	36866
67	2682	36772
68	2716	36653
69	2748	36518
70	2785	36450
71	2819	36337
72	2848	36176
73	2879	36026
74	2912	35919
75	2944	35798
76	2972	35631
77	3004	35514
78	3039	35429
79	3075	35368
80	3108	35268
81	3190	35714
82	3272	36149
83	3331	36326
84	3362	36198
85	3403	36170
86	3444	36143
87	3482	36086
88	3575	36594
89	3648	36886
90	3689	36854
91	3724	36761
92	3754	36613
93	3783	36469
94	3817	36364
95	3846	36221
96	3879	36113
97	3989	36718
98	4022	36611
99	4073	36657
100	4111	36599
101	4140	36450
102	4175	36362
103	4205	36231
104	4239	36133
105	4272	36031
106	4305	35930
107	4338	35832
108	4372	35743
109	4403	35632
110	4436	35535
111	4468	35432
112	4501	35337
113	4532	35229
114	4567	35146
115	4596	35029
116	4630	34944
117	4659	34831
118	4689	34714
119	4722	34629
120	4754	34540
121	4785	34443
122	4820	34372
123	4850	34263
124	4885	34195
125	4921	34139
126	4960	34101
127	5007	34110
128	5047	34081
129	5091	34070
130	5134	34057
131	5173	34022
132	5217	34012
133	5274	34084
134	5316	34063
135	5360	34055
136	5390	33958
137	5433	33941
138	5468	33874
139	5498	33777
140	5531	33700
141	5561	33603
142	5594	33525
143	5627	33453
144	5661	33383
145	5697	33326
146	5732	33263
147	5775	33247
148	5825	33270
149	5871	33272
150	5920	33286
151	5946	33174
152	5988	33152
153	6033	33142
154	6073	33108
155	6115	33087
156	6155	33051
157	6196	33023
158	6246	33041
159	6289	33018
160	6324	32956
161	6357	32888
162	6391	32818
163	6425	32753
164	6460	32694
165	6492	32618
166	6528	32564
167	6562	32498
168	6597	32443
169	6632	32384
170	6669	32334
171	6717	32340
172	6757	32303
173	6802	32290
174	6843	32260
175	6881	32217
176	6927	32211
177	6962	32152
178	7003	32124
179	7041	32077
180	7070	31991
181	7103	31924
182	7149	31919
183	7184	31861
184	7217	31797
185	7252	31740
186	7284	31671
187	7316	31599
188	7344	31515
189	7375	31443
190	7409	31381
191	7441	31316
192	7485	31298
193	7523	31257
194	7571	31258
195	7617	31248
196	7665	31244
197	7689	31147
198	7735	31134
199	7752	31010
200	7800	31009
201	7852	31020
202	7898	31010
203	7946	31005
204	7989	30982
205	8025	30931
206	8059	30876
207	8080	30769
208	8118	30724
209	8150	30662
210	8165	30533
211	8212	30525
212	8262	30529
213	8302	30494
214	8338	30444
215	8359	30341
216	8401	30314
217	8421	30210
218	8467	30196
219	8487	30091
220	8542	30110
221	8583	30081
222	8620	30035
223	8666	30023
224	8695	29952
225	8726	29886
226	8744	29777
227	8791	29766
228	8837	29753
229	8893	29773
230	8940	29764
231	8985	29744
232	9027	29717
233	9066	29677
234	9097	29616
235	9133	29566
236	9167	29512
237	9199	29453
238	9228	29383
239	9263	29335
240	9298	29283
241	9329	29223
242	9364	29172
243	9397	29117
244	9432	29066
245	9465	29011
246	9499	28961
247	9536	28918
248	9573	28874
249	9613	28839
250	9675	28873
251	9714	28835
252	9753	28798
253	9792	28761
254	9830	28719
255	9863	28665
256	9913	28660
257	9963	28654
258	9997	28601
259	10032	28554
260	10064	28495
261	10097	28441
262	10128	28383
263	10158	28320
264	10189	28261
265	10219	28199
266	10249	28137
267	10278	28075
268	10312	28025
269	10347	27976
270	10382	27928
271	10416	27878
272	10434	27786
273	10451	27692
274	10484	27641
275	10518	27590
276	10539	27508
277	10573	27460
278	10607	27413
279	10642	27367
280	10676	27317
281	10709	27268
282	10753	27244
283	10793	27210
284	10826	27160
285	10858	27108
